.................................................................................................... : Generation 1 -- Population: 150, Species: 1, Max Fitness: 1011.24682355 (60),
.................................................................................................... : Generation 2 -- Population: 150, Species: 1, Max Fitness: 1011.24682355 (60),
.................................................................................................... : Generation 3 -- Population: 150, Species: 1, Max Fitness: 1091.65351558 (459),
.................................................................................................... : Generation 4 -- Population: 150, Species: 1, Max Fitness: 1091.65351558 (459),
.................................................................................................... : Generation 5 -- Population: 150, Species: 1, Max Fitness: 1117.35517883 (826),
.................................................................................................... : Generation 6 -- Population: 150, Species: 1, Max Fitness: 1117.35517883 (826),
.................................................................................................... : Generation 7 -- Population: 150, Species: 1, Max Fitness: 1117.35517883 (826),
.................................................................................................... : Generation 8 -- Population: 150, Species: 2, Max Fitness: 1117.35517883 (826),
.............................................................................................+++++++ : Generation 9 -- Population: 150, Species: 2, Max Fitness: 1117.35517883 (826),
...................................................................................+++++++++++++++++ : Generation 10 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
............................................................++++++++++++++++++++++++++++++++++++++++ : Generation 11 -- Population: 149, Species: 3, Max Fitness: 1117.35517883 (826),
........................................................++++++++++++++++++++++++++++++++++++++++++++ : Generation 12 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
.....................................................+++++++++++++++++++++++++++++++++++++++++++++++ : Generation 13 -- Population: 149, Species: 3, Max Fitness: 1117.35517883 (826),
......................................................++++++++++++++++++++++++++++++++++++++++++++.. : Generation 14 -- Population: 147, Species: 3, Max Fitness: 1117.35517883 (826),
.........................................................+++++++++++++++++++++++++++++++++++++++++++ : Generation 15 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
......................................................++++++++++++++++++++++++++++++++++++++++++++++ : Generation 16 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
......................................................++++++++++++++++++++++++++++++++++++++++++++++ : Generation 17 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
.....................................................+++++++++++++++++++++++++++++++++++++++++++++++ : Generation 18 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
......................................................++++++++++++++++++++++++++++++++++++++++++++++ : Generation 19 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
.....................................................+++++++++++++++++++++++++++++++++++++++++++++.. : Generation 20 -- Population: 148, Species: 3, Max Fitness: 1117.35517883 (826),
.....................................................++++++++++++++++++++++++++++++++++++++++++++++. : Generation 21 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
...................................................+++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 22 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
....................................................++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 23 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
....................................................++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 24 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
...................................................+++++++++++++++++++++++++++++++++++++++++++++.... : Generation 25 -- Population: 148, Species: 3, Max Fitness: 1117.35517883 (826),
....................................................++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 26 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
.....................................................+++++++++++++++++++++++++++++++++++++++++++++.. : Generation 27 -- Population: 149, Species: 3, Max Fitness: 1117.35517883 (826),
.....................................................+++++++++++++++++++++++++++++++++++++++++++++++ : Generation 28 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
...................................................++++++++++++++++++++++++++++++++++++++++++++++++. : Generation 29 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
.....................................................+++++++++++++++++++++++++++++++++++++++++++++++ : Generation 30 -- Population: 150, Species: 3, Max Fitness: 1117.35517883 (826),
