.................................................................................................... : Generation 1 -- Population: 150, Species: 5, Max Fitness: 900.676932027 (9),
....................................................+++++++++++++++++++++..........................+ : Generation 2 -- Population: 150, Species: 5, Max Fitness: 973.306315313 (153),
....................................+++++++++++++++++++++++++..............................+++++++++ : Generation 3 -- Population: 150, Species: 5, Max Fitness: 1008.39616445 (364),
................................++++++++++++++++++++++++++................................++++++++++ : Generation 4 -- Population: 150, Species: 5, Max Fitness: 1044.32841944 (574),
................................+++++++++++++++++++++++++.................................++++++++++ : Generation 5 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
...........................+++++++++++++++++++++++............................++++++++++++++++++++++ : Generation 6 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
.............................++++++++++++++++++++............................+++++++++++++++++++++++ : Generation 7 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
...........................++++++++++++++++++++++............................+++++++++++++++++++++++ : Generation 8 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
.............................++++++++++++++++++++++............................+++++++++++++++++++++ : Generation 9 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
.............................+++++++++++++++++++++++...........................+++++++++++++++++++++ : Generation 10 -- Population: 147, Species: 6, Max Fitness: 1057.73660043 (772),
.............................+++++++++++++++++++++++...........................+++++++++++++++++++++ : Generation 11 -- Population: 148, Species: 6, Max Fitness: 1057.73660043 (772),
.............................++++++++++++++++++++++++...........................++++++++++++++++++++ : Generation 12 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
............................+++++++++++++++++++++++...........................++++++++++++++++++++++ : Generation 13 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
...........................++++++++++++++++++++++++...........................++++++++++++++++++++++ : Generation 14 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
...........................++++++++++++++++++++++++...........................++++++++++++++++++++++ : Generation 15 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
............................+++++++++++++++++++++++...........................++++++++++++++++++++++ : Generation 16 -- Population: 150, Species: 6, Max Fitness: 1057.73660043 (772),
...........................++++++++++++++++++++++++...........................++++++++++++++++++++++ : Generation 17 -- Population: 148, Species: 6, Max Fitness: 1057.73660043 (772),
..............................++++++++++++++++++++++++..........................++++++++++++++++++++ : Generation 18 -- Population: 148, Species: 7, Max Fitness: 1057.73660043 (772),
.........................++++++++++++++++++++++........................++++++++++++++++++++......... : Generation 19 -- Population: 150, Species: 7, Max Fitness: 1057.73660043 (772),
........................+++++++++++++++++++++.......................+++++++++++++++++++++........... : Generation 20 -- Population: 149, Species: 7, Max Fitness: 1057.73660043 (772),
.......................++++++++++++++++++++++.......................+++++++++++++++++++++........... : Generation 21 -- Population: 150, Species: 8, Max Fitness: 1057.73660043 (772),
....................++++++++++++++++++++.....................+++++++++++++++++++...............+++++ : Generation 22 -- Population: 149, Species: 8, Max Fitness: 1057.73660043 (772),
...................++++++++++++++++++++.....................+++++++++++++++++.................++++++ : Generation 23 -- Population: 150, Species: 8, Max Fitness: 1057.73660043 (772),
.................++++++++++++++++++++.....................++++++++++++++++++.................+++++++ : Generation 24 -- Population: 150, Species: 8, Max Fitness: 1057.73660043 (772),
..................++++++++++++++++++++.....................++++++++++++++++.................++++++++ : Generation 25 -- Population: 149, Species: 8, Max Fitness: 1057.73660043 (772),
....................++++++++++++++++++++....................+++++++++++++++...............++++++++++ : Generation 26 -- Population: 147, Species: 8, Max Fitness: 1057.73660043 (772),
.....................++++++++++++++++++++....................+++++++++++++++++................++++++ : Generation 27 -- Population: 150, Species: 8, Max Fitness: 1057.73660043 (772),
....................++++++++++++++++++++...................++++++++++++++.................++++++++++ : Generation 28 -- Population: 146, Species: 8, Max Fitness: 1057.73660043 (772),
.......................++++++++++++++++++++...................+++++++++++++++................+++++++ : Generation 29 -- Population: 148, Species: 8, Max Fitness: 1057.73660043 (772),
.......................++++++++++++++++++++...................+++++++++++++++...............++++++++ : Generation 30 -- Population: 147, Species: 8, Max Fitness: 1057.73660043 (772),
.......................++++++++++++++++++++...................+++++++++++++++++................+++++ : Generation 31 -- Population: 150, Species: 8, Max Fitness: 1057.73660043 (772),
....................++++++++++++++++++++...................+++++++++++++++++.................+++++++ : Generation 32 -- Population: 149, Species: 8, Max Fitness: 1057.73660043 (772),
......................++++++++++++++++++++...................++++++++++++++++................+++++++ : Generation 33 -- Population: 149, Species: 8, Max Fitness: 1057.73660043 (772),
......................++++++++++++++++++++...................+++++++++++++++++...............+++++++ : Generation 34 -- Population: 149, Species: 8, Max Fitness: 1057.73660043 (772),
......................++++++++++++++++++++...................+++++++++++++++++...............+++++++ : Generation 35 -- Population: 149, Species: 8, Max Fitness: 1057.73660043 (772),
....................+++++++++++++++++++...................++++++++++++++++++................++++++++ : Generation 36 -- Population: 147, Species: 8, Max Fitness: 1057.73660043 (772),
........................++++++++++++++++++...................+++++++++++++................++++++++++ : Generation 37 -- Population: 146, Species: 8, Max Fitness: 1057.73660043 (772),
..........................++++++++++++++++++...................+++++++++++++++................++++++ : Generation 38 -- Population: 148, Species: 8, Max Fitness: 1057.73660043 (772),
.......................+++++++++++++++++++...................++++++++++++++++................+++++++ : Generation 39 -- Population: 149, Species: 8, Max Fitness: 1057.73660043 (772),
.......................++++++++++++++++++...................+++++++++++++++++...............++++++++ : Generation 40 -- Population: 147, Species: 8, Max Fitness: 1064.79479435 (8059),
....................+++++++++++++++++++...................++++++++++++++++++...............+++++++++ : Generation 41 -- Population: 150, Species: 8, Max Fitness: 1064.79479435 (8059),
.....................++++++++++++++++++...................++++++++++++++++...............+++++++++++ : Generation 42 -- Population: 146, Species: 8, Max Fitness: 1066.10349424 (8439),
....................++++++++++++++++++..................++++++++++++++++................++++++++++++ : Generation 43 -- Population: 149, Species: 9, Max Fitness: 1066.10349424 (8439),
..................+++++++++++++++++..................+++++++++++++++++............++++++++++++++++++ : Generation 44 -- Population: 148, Species: 9, Max Fitness: 1066.10349424 (8439),
...................+++++++++++++++++..................++++++++++++++++.............+++++++++++++++++ : Generation 45 -- Population: 149, Species: 9, Max Fitness: 1070.50535358 (9047),
...................+++++++++++++++++.................++++++++++++++++..............+++++++++++++++++ : Generation 46 -- Population: 150, Species: 9, Max Fitness: 1070.50535358 (9047),
...................+++++++++++++++++.................++++++++++++++............+++++++++++++++++.... : Generation 47 -- Population: 146, Species: 9, Max Fitness: 1070.50535358 (9047),
.................+++++++++++++++++................+++++++++++++++..............+++++++++++++++++.... : Generation 48 -- Population: 148, Species: 9, Max Fitness: 1070.50535358 (9047),
..................+++++++++++++++++.................++++++++++++++++..............++++++++++++++++.. : Generation 49 -- Population: 149, Species: 9, Max Fitness: 1070.50535358 (9047),
.................+++++++++++++++++.................+++++++++++++++++..............+++++++++++++++++. : Generation 50 -- Population: 150, Species: 9, Max Fitness: 1070.50535358 (9047),
.................+++++++++++++++++.................+++++++++++++++++...............+++++++++++++++++ : Generation 51 -- Population: 150, Species: 9, Max Fitness: 1073.74069537 (10259),
.................+++++++++++++++++.................++++++++++++++++................+++++++++++++++++ : Generation 52 -- Population: 150, Species: 9, Max Fitness: 1073.74069537 (10259),
.................+++++++++++++++++.................++++++++++++++..............+++++++++++++++++.... : Generation 53 -- Population: 146, Species: 10, Max Fitness: 1073.74069537 (10259),
.................+++++++++++++++................++++++++++++..............++++++++++++++++.......... : Generation 54 -- Population: 149, Species: 10, Max Fitness: 1073.74069537 (10259),
.................++++++++++++++++................+++++++++++++............++++++++++++++++.......... : Generation 55 -- Population: 148, Species: 10, Max Fitness: 1090.88276603 (10966),
...............+++++++++++++++..............+++++++++++++++++++++++++.................++++++++++++++ : Generation 56 -- Population: 145, Species: 9, Max Fitness: 1098.9353822 (11177),
.................+++++++++++++++++..............++++++++++++++++++.................+++++++++++++++++ : Generation 57 -- Population: 148, Species: 9, Max Fitness: 1098.9353822 (11177),
..................++++++++++++++++................++++++++++++++++.................++++++++++++++++. : Generation 58 -- Population: 145, Species: 9, Max Fitness: 1098.9353822 (11177),
................++++++++++++++++...................................+++++++++++++++++................ : Generation 59 -- Population: 147, Species: 8, Max Fitness: 1098.9353822 (11177),
..................+++++++++++++++++........................++++++++++++++++++...................++++ : Generation 60 -- Population: 148, Species: 8, Max Fitness: 1098.9353822 (11177),
..................++++++++++++++++++.......................+++++++++++++++++++..................++++ : Generation 61 -- Population: 150, Species: 9, Max Fitness: 1098.9353822 (11177),
.................+++++++++++++++.................++++++++++++++++.................+++++++++++++++++. : Generation 62 -- Population: 146, Species: 9, Max Fitness: 1098.9353822 (11177),
................+++++++++++++++++....................++++++++++++++++...............++++++++++++++++ : Generation 63 -- Population: 148, Species: 9, Max Fitness: 1098.9353822 (11177),
................+++++++++++++++.................+++++++++++++++++.................+++++++++++++++++. : Generation 64 -- Population: 149, Species: 10, Max Fitness: 1098.9353822 (11177),
...............++++++++++++++..............++++++++++++++++................++++++++++++++++......... : Generation 65 -- Population: 147, Species: 10, Max Fitness: 1098.9353822 (11177),
...............++++++++++++++.............+++++++++++++++...............++++++++++++++++............ : Generation 66 -- Population: 145, Species: 10, Max Fitness: 1098.9353822 (11177),
...............++++++++++++++...................+++++++++++++++...............++++++++++++++++...... : Generation 67 -- Population: 150, Species: 10, Max Fitness: 1098.9353822 (11177),
................++++++++++++++............++++++++++++++++...............++++++++++++++++........... : Generation 68 -- Population: 148, Species: 10, Max Fitness: 1098.9353822 (11177),
...............+++++++++++++..............+++++++++++++++.................++++++++++++++++.......... : Generation 69 -- Population: 146, Species: 10, Max Fitness: 1098.9353822 (11177),
...............++++++++++++++.................+++++++++++++++................++++++++++++++++....... : Generation 70 -- Population: 148, Species: 10, Max Fitness: 1098.9353822 (11177),
..............+++++++++++++++...............+++++++++++++++...............++++++++++++++++.......... : Generation 71 -- Population: 147, Species: 10, Max Fitness: 1098.9353822 (11177),
..............++++++++++++++++.................+++++++++++++++................++++++++++++++++...... : Generation 72 -- Population: 150, Species: 10, Max Fitness: 1098.9353822 (11177),
...............++++++++++++++.............+++++++++++++++.................++++++++++++++++.......... : Generation 73 -- Population: 147, Species: 10, Max Fitness: 1098.9353822 (11177),
...............++++++++++++++................+++++++++++++++.................++++++++++++++++....... : Generation 74 -- Population: 148, Species: 10, Max Fitness: 1098.9353822 (11177),
...............+++++++++++++++++++++++++++...............++++++++++++++++.................++++++++++ : Generation 75 -- Population: 144, Species: 9, Max Fitness: 1099.37021663 (15017),
................+++++++++++++++++................+++++++++++++++++++++.................+++++++++++++ : Generation 76 -- Population: 149, Species: 9, Max Fitness: 1099.37021663 (15017),
.................++++++++++++++++.................+++++++++++++++++..................+++++++++++++++ : Generation 77 -- Population: 148, Species: 9, Max Fitness: 1099.37021663 (15017),
.................+++++++++++++++++.................+++++++++++++++++.................++++++++++++++. : Generation 78 -- Population: 148, Species: 10, Max Fitness: 1099.37021663 (15017),
................++++++++++++++++...............++++++++++++++++++................++++++++++++++..... : Generation 79 -- Population: 150, Species: 10, Max Fitness: 1111.29193742 (15744),
................++++++++++++++...............++++++++++++++++................++++++++++++++......... : Generation 80 -- Population: 149, Species: 12, Max Fitness: 1111.29193742 (15744),
..............++++++++++++..............++++++++++++++..............++++++++++++..............++++++ : Generation 81 -- Population: 150, Species: 12, Max Fitness: 1111.29193742 (15744),
.............+++++++++++++.............+++++++++++++.............++++++++++++.............++++++++++ : Generation 82 -- Population: 150, Species: 12, Max Fitness: 1111.29193742 (15744),
.............++++++++++++.............++++++++++++..............+++++++++++++.............++++++++++ : Generation 83 -- Population: 149, Species: 12, Max Fitness: 1111.29193742 (15744),
.............++++++++++++++.............+++++++++++++.............+++++++++++++............+++++++++ : Generation 84 -- Population: 150, Species: 12, Max Fitness: 1111.29193742 (15744),
..............+++++++++++++.............+++++++++++++.............+++++++++++++.............++++++++ : Generation 85 -- Population: 150, Species: 12, Max Fitness: 1111.29193742 (15744),
.............+++++++++++++.............+++++++++++++.............++++++++++++.............++++++++++ : Generation 86 -- Population: 150, Species: 12, Max Fitness: 1111.29193742 (15744),
............+++++++++++++.............++++++++++++++.............++++++++++++.............++++++++++ : Generation 87 -- Population: 149, Species: 12, Max Fitness: 1111.29193742 (15744),
.............+++++++++++++...........++++++++++++.............++++++++++++............+++++++++++++. : Generation 88 -- Population: 147, Species: 12, Max Fitness: 1111.29193742 (15744),
.............+++++++++++++++............+++++++++++++.............+++++++++++...........++++++++++++ : Generation 89 -- Population: 149, Species: 12, Max Fitness: 1111.29193742 (15744),
.............++++++++++++++............+++++++++++++.............++++++++++++...........++++++++++++ : Generation 90 -- Population: 149, Species: 12, Max Fitness: 1111.29193742 (15744),
............+++++++++++............+++++++++++++.............+++++++++++++.............+++++++++++++ : Generation 91 -- Population: 147, Species: 12, Max Fitness: 1111.29193742 (15744),
............++++++++++++++++............+++++++++++++.............++++++++++............++++++++++++ : Generation 92 -- Population: 149, Species: 12, Max Fitness: 1111.29193742 (15744),
.............+++++++++++++++++++++++++.............++++++++++++++............+++++++++++++.......... : Generation 93 -- Population: 150, Species: 11, Max Fitness: 1111.29193742 (15744),
...............++++++++++++++..............++++++++++++++.............+++++++++++++..............+++ : Generation 94 -- Population: 148, Species: 11, Max Fitness: 1111.29193742 (15744),
..............++++++++++++++++..............+++++++++++++++.............++++++++++++.............+++ : Generation 95 -- Population: 147, Species: 11, Max Fitness: 1111.29193742 (15744),
.............++++++++++++++++++..............+++++++++++++++.............++++++++++++.............++ : Generation 96 -- Population: 149, Species: 11, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++..............++++++++++++++++..........++++++++++++++..............++++ : Generation 97 -- Population: 147, Species: 11, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++++++............++++++++++++++..............+++++++++++.............++++ : Generation 98 -- Population: 148, Species: 11, Max Fitness: 1116.99225851 (19166),
...........++++++++++++++++++..............++++++++++++++...........+++++++++++++.............++++++ : Generation 99 -- Population: 146, Species: 11, Max Fitness: 1116.99225851 (19166),
.............++++++++++++++++++..............++++++++++++++............+++++++++++++.............+++ : Generation 100 -- Population: 148, Species: 11, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++++..............++++++++++++++.............+++++++++++++..............++ : Generation 101 -- Population: 150, Species: 11, Max Fitness: 1116.99225851 (19166),
..............++++++++++++++++..............++++++++++++++............+++++++++++++...............++ : Generation 102 -- Population: 149, Species: 11, Max Fitness: 1116.99225851 (19166),
..............++++++++++++++.............+++++++++++++++..........+++++++++++++...............++++++ : Generation 103 -- Population: 146, Species: 11, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++++..............++++++++++++++.............+++++++++++++..............++ : Generation 104 -- Population: 150, Species: 11, Max Fitness: 1116.99225851 (19166),
.............++++++++++++++++..............++++++++++++++.............++++++++++++++..............++ : Generation 105 -- Population: 150, Species: 11, Max Fitness: 1116.99225851 (19166),
..............++++++++++++++++.............++++++++++++++.............+++++++++++++..............+++ : Generation 106 -- Population: 148, Species: 11, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++++++...........++++++++++++++............+++++++++++.............+++++++ : Generation 107 -- Population: 144, Species: 11, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++++++.............++++++++++++++.............+++++++++++++.............++ : Generation 108 -- Population: 148, Species: 11, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++++++..............++++++++++++............++++++++++++..............++++ : Generation 109 -- Population: 149, Species: 12, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++++...........+++++++++++++..............+++++++++++++............+++++++++ : Generation 110 -- Population: 149, Species: 13, Max Fitness: 1116.99225851 (19166),
............+++++++++++............++++++++++++..........++++++++++++............++++++++++++....... : Generation 111 -- Population: 147, Species: 13, Max Fitness: 1116.99225851 (19166),
.............++++++++++++............++++++++++++............+++++++++++............++++++++++++.... : Generation 112 -- Population: 149, Species: 13, Max Fitness: 1116.99225851 (19166),
............+++++++++...........+++++++++++++..........++++++++++++............++++++++++++......... : Generation 113 -- Population: 148, Species: 13, Max Fitness: 1116.99225851 (19166),
............+++++++++++++++++++++++............+++++++++++..........+++++++++++++............+++++++ : Generation 114 -- Population: 148, Species: 12, Max Fitness: 1116.99225851 (19166),
.............++++++++++++++.............+++++++++++............++++++++++++++.............++++++++++ : Generation 115 -- Population: 149, Species: 12, Max Fitness: 1116.99225851 (19166),
............+++++++++++++.............++++++++++++..............++++++++++++.............+++++++++++ : Generation 116 -- Population: 149, Species: 13, Max Fitness: 1116.99225851 (19166),
..........++++++++++.............++++++++++............++++++++++++............+++++++++++.......... : Generation 117 -- Population: 145, Species: 13, Max Fitness: 1116.99225851 (19166),
............+++++++++++++...........+++++++++.............++++++++++++............++++++++++........ : Generation 118 -- Population: 147, Species: 13, Max Fitness: 1116.99225851 (19166),
...........++++++++++++.............+++++++++++............++++++++++++...........+++++++++++....... : Generation 119 -- Population: 149, Species: 13, Max Fitness: 1116.99225851 (19166),
............+++++++++...........+++++++++++............++++++++++++............++++++++++........... : Generation 120 -- Population: 147, Species: 13, Max Fitness: 1116.99225851 (19166),
............+++++++++++............++++++++++++............++++++++++++............+++++++++++...... : Generation 121 -- Population: 150, Species: 13, Max Fitness: 1116.99225851 (19166),
............+++++++++............++++++++++++...........++++++++++++.............+++++++++++........ : Generation 122 -- Population: 150, Species: 13, Max Fitness: 1116.99225851 (19166),
............++++++++++............+++++++++++...........+++++++++++++............+++++++++++........ : Generation 123 -- Population: 149, Species: 13, Max Fitness: 1116.99225851 (19166),
............++++++++++++++++++++++............+++++++++++............++++++++++++...........++++++++ : Generation 124 -- Population: 150, Species: 12, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++.............+++++++++++..............+++++++++++++...........++++++++++++ : Generation 125 -- Population: 148, Species: 12, Max Fitness: 1116.99225851 (19166),
.............++++++++++++.............++++++++++++.............+++++++++++++............++++++++++++ : Generation 126 -- Population: 150, Species: 12, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++.............++++++++++++.............+++++++++++++............+++++++++++ : Generation 127 -- Population: 150, Species: 12, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++.............++++++++++++.............+++++++++++++............+++++++++++ : Generation 128 -- Population: 150, Species: 12, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++............++++++++++++............+++++++++++++............++++++++++++. : Generation 129 -- Population: 149, Species: 12, Max Fitness: 1116.99225851 (19166),
............++++++++++++++.............+++++++++++..............+++++++++++++............+++++++++++ : Generation 130 -- Population: 149, Species: 12, Max Fitness: 1116.99225851 (19166),
.............+++++++++++++............++++++++++++.............+++++++++++++...........++++++++++++. : Generation 131 -- Population: 149, Species: 12, Max Fitness: 1116.99225851 (19166),
.............++++++++++++++++++++++++++.............++++++++++++.............++++++++++++........... : Generation 132 -- Population: 150, Species: 11, Max Fitness: 1116.99225851 (19166),
