...............+++++++++++++++++..................+..................++++++++++++++++++............. : Generation 50 -- Population: 150, Species: 11, Max Fitness: 1167.78647647 (8394),
...............++++++++++++++++++.................+.................+++++++++++++++++............... : Generation 51 -- Population: 150, Species: 11, Max Fitness: 1167.78647647 (8394),
..............++++++++++++++++++.................+.................+++++++++++++++++................ : Generation 52 -- Population: 150, Species: 11, Max Fitness: 1167.78647647 (8394),
...............+++++++++++++++++.................+.................+++++++++++++++++................ : Generation 53 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
..........................++++++++++++++++.++++++++++++++++.................+++++++++++++++.++++++++ : Generation 54 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
.............+++++++++++++++++.+++++++++++++++................+++++++++++++++.+++++++++++++++....... : Generation 55 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
............+++++++++++++++.++++++++++++++++.................+++++++++++++++.+++++++++++++++........ : Generation 56 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
...........+++++++++++++++++.++++++++++++++++................++++++++++++++.+++++++++++++++......... : Generation 57 -- Population: 150, Species: 13, Max Fitness: 1167.78647647 (8394),
..........+++++++++++++++.+++++++++++++++................+++++++++++++.++++++++++++++..............+ : Generation 58 -- Population: 150, Species: 13, Max Fitness: 1167.78647647 (8394),
..........++++++++++++++++.+++++++++++++++...............+++++++++++++.++++++++++++++.............++ : Generation 59 -- Population: 150, Species: 13, Max Fitness: 1167.78647647 (8394),
...........+++++++++++++++.+++++++++++++++..............+++++++++++++.++++++++++++++..............++ : Generation 60 -- Population: 149, Species: 13, Max Fitness: 1167.78647647 (8394),
...............+++++++++++++++.++++++++++++++.............+++++++++++++.++++++++++++..............++ : Generation 61 -- Population: 150, Species: 13, Max Fitness: 1167.78647647 (8394),
...............+++++++++++++++.++++++++++++++.............++++++++++++++.+++++++++++++............++ : Generation 62 -- Population: 149, Species: 13, Max Fitness: 1167.78647647 (8394),
................+++++++++++++++.............++++++++++++++.............+.............+++++++++++++.. : Generation 63 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
.............................+++++++++++++++..............+++++++++++++.+++++++++++++.............++ : Generation 64 -- Population: 150, Species: 11, Max Fitness: 1167.78647647 (8394),
....................++++++++++++++++...............++++++++++++++.++++++++++++++.............+++++++ : Generation 65 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
................+++++++++++++++...............+++++++++++++.+++++++++++++............++++++++++++... : Generation 66 -- Population: 149, Species: 12, Max Fitness: 1167.78647647 (8394),
...............+++++++++++++++...............+++++++++++++.+++++++++++++.............+++++++++++++.. : Generation 67 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
................+++++++++++++++...............+++++++++++++.++++++++++++.............++++++++++++... : Generation 68 -- Population: 149, Species: 12, Max Fitness: 1167.78647647 (8394),
..............++++++++++++++...............++++++++++++++.+++++++++++++..............+++++++++++++.. : Generation 69 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
