...................................................+++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 58 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.................................................................................................... : Generation 59 -- Population: 150, Species: 1, Max Fitness: 9.25228118308 (12042),
.................................................................................................... : Generation 60 -- Population: 150, Species: 1, Max Fitness: 10.1709874134 (12290),
.................................................................................................... : Generation 61 -- Population: 150, Species: 1, Max Fitness: 10.1709874134 (12290),
.................................................................................................... : Generation 62 -- Population: 150, Species: 1, Max Fitness: 10.1709874134 (12290),
.................................................................................................... : Generation 63 -- Population: 150, Species: 1, Max Fitness: 10.1826229081 (12935),
.................................................................................................... : Generation 64 -- Population: 150, Species: 1, Max Fitness: 12.161259617 (13048),
.................................................................................................... : Generation 65 -- Population: 150, Species: 1, Max Fitness: 12.2403439646 (13389),
.................................................................................................... : Generation 66 -- Population: 150, Species: 2, Max Fitness: 12.2403439646 (13389),
.............................................................................................+++++++ : Generation 67 -- Population: 150, Species: 2, Max Fitness: 12.2499688328 (13667),
.....................................................................................+++++++++++++++ : Generation 68 -- Population: 150, Species: 2, Max Fitness: 12.2499864524 (13865),
.....................................................................................+++++++++++++++ : Generation 69 -- Population: 150, Species: 2, Max Fitness: 12.2499876468 (14075),
.....................................................................................+++++++++++++++ : Generation 70 -- Population: 150, Species: 2, Max Fitness: 12.2499987161 (14332),
..................................................................................++++++++++++++++++ : Generation 71 -- Population: 150, Species: 2, Max Fitness: 14.9085393925 (14493),
.................................................................................+++++++++++++++++++ : Generation 72 -- Population: 150, Species: 2, Max Fitness: 14.9085393925 (14493),
..............................................................................++++++++++++++++++++++ : Generation 73 -- Population: 150, Species: 2, Max Fitness: 14.9085393925 (14493),
..........................................................................++++++++++++++++++++++++++ : Generation 74 -- Population: 149, Species: 2, Max Fitness: 15.9743287845 (15104),
